pincode,latitude,longitude,city,state,formatted_address
560,20.593684,78.96288,,,India
56010,20.593684,78.96288,,,India
208011,26.4045188,80.3380213,Kanpur,Uttar Pradesh,"Kidwai Nagar, Kanpur, Uttar Pradesh 208011, India"
226001,26.8537051,80.9484195,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh 226001, India"
284003,25.4600153,78.5320107,Lahargird,Uttar Pradesh,"Lahargird, Uttar Pradesh 284003, India"
380013,23.0599377,72.5612458,Ahmedabad,Gujarat,"Ahmedabad, Gujarat 380013, India"
400054,19.0820116,72.83446909999999,Mumbai,Maharashtra,"Mumbai, Maharashtra 400054, India"
400069,19.118372,72.85007089999999,Mumbai,Maharashtra,"Andheri East, Mumbai, Maharashtra 400069, India"
403707,15.2480579,73.96537150000002,,Goa,"Goa 403707, India"
411000,20.593684,78.96288,,,India
440018,21.1484602,79.0955723,Nagpur,Maharashtra,"Mominpura, Nagpur, Maharashtra 440018, India"
462023,23.2499173,77.44151180000001,Bhopal,Madhya Pradesh,"Govindpura, Bhopal, Madhya Pradesh 462023, India"
474011,26.2208223,78.20773679999999,Gwalior,Madhya Pradesh,"Gwalior, Madhya Pradesh 474011, India"
482002,23.2103329,79.8856824,Jabalpur,Madhya Pradesh,"Jabalpur, Madhya Pradesh 482002, India"
490006,21.1752652,81.3344408,Maitri Kunj,Chhattisgarh,"Maitri Kunj, Chhattisgarh 490006, India"
495001,22.0788635,82.13328179999999,Tiwari Para,Chhattisgarh,"Tiwari Para, Chhattisgarh 495001, India"
500035,17.3552776,78.53769059999999,Hyderabad,Telangana,"Hyderabad, Telangana 500035, India"
515001,14.6941362,77.59919210000001,Anantapur,Andhra Pradesh,"Aravinda Nagar, Anantapur, Andhra Pradesh 515001, India"
515004,14.7299599,77.57340479999999,Akkampalli,Andhra Pradesh,"Akkampalli, Andhra Pradesh 515004, India"
515134,14.1474816,77.80241699999999,Beedupalle,Andhra Pradesh,"Beedupalle, Andhra Pradesh 515134, India"
515414,14.784518,77.9510209,Komatikuntla,Andhra Pradesh,"Komatikuntla, Andhra Pradesh 515414, India"
515591,14.0722763,78.1222336,Kadiri,Andhra Pradesh,"Kadiri, Andhra Pradesh 515591, India"
515671,14.4000475,77.71659249999999,,Andhra Pradesh,"Andhra Pradesh 515671, India"
516002,14.4805102,78.8665733,Kadapa,Andhra Pradesh,"N.G.O Colony, Kadapa, Andhra Pradesh 516002, India"
516003,14.4477694,78.78162189999999,Krishnapuram,Andhra Pradesh,"Krishnapuram, Andhra Pradesh 516003, India"
516115,14.1955116,79.149209,Rajampet,Andhra Pradesh,"Rajampet, Andhra Pradesh 516115, India"
516390,14.4416096,78.1906417,Pulivendula,Andhra Pradesh,"Pulivendula, Andhra Pradesh 516390, India"
517001,13.2239196,79.12662879999999,Chittoor,Andhra Pradesh,"Chittoor, Andhra Pradesh 517001, India"
517257,13.4529694,78.77028949999999,Chowdepalle,Andhra Pradesh,"Chowdepalle, Andhra Pradesh 517257, India"
517425,12.779585,78.4297187,Kangundi,Andhra Pradesh,"Kangundi, Andhra Pradesh 517425, India"
517426,12.8069316,78.2817834,Bisanatham,Andhra Pradesh,"Bisanatham, Andhra Pradesh 517426, India"
517501,13.6244611,79.4310052,Tirupati,Andhra Pradesh,"Tirupati, Andhra Pradesh 517501, India"
518344,15.7493188,77.1255055,Upparahal,Andhra Pradesh,"Upparahal, Andhra Pradesh 518344, India"
518502,15.4464535,78.509288,Noonepalli,Andhra Pradesh,"Noonepalli, Andhra Pradesh 518502, India"
522003,16.2771662,80.44934049999999,Guntur,Andhra Pradesh,"R Agraharam, Guntur, Andhra Pradesh 522003, India"
522601,16.2409028,80.0423151,Narasaraopeta,Andhra Pradesh,"Narasaraopeta, Andhra Pradesh 522601, India"
523002,15.502005,80.0031833,Ongole,Andhra Pradesh,"Siva Prasad Colony, Ongole, Andhra Pradesh 523002, India"
523261,15.8590034,80.0758425,Muppavaram,Andhra Pradesh,"Muppavaram, Andhra Pradesh 523261, India"
524003,14.4108526,79.99759159999999,Kanuparthipadu,Andhra Pradesh,"Kanuparthipadu, Andhra Pradesh 524003, India"
524225,14.7825676,79.80726109999999,Parikota,Andhra Pradesh,"Parikota, Andhra Pradesh 524225, India"
560001,12.9765944,77.5992708,Bengaluru,Karnataka,"Bengaluru, Karnataka 560001, India"
560002,12.9635207,77.5821062,Bengaluru,Karnataka,"Bengaluru, Karnataka 560002, India"
560003,13.0019142,77.57133639999999,Bengaluru,Karnataka,"Bengaluru, Karnataka 560003, India"
560004,12.9437506,77.57375979999999,Bengaluru,Karnataka,"Bengaluru, Karnataka 560004, India"
560005,12.9979887,77.62265119999999,Bengaluru,Karnataka,"Bengaluru, Karnataka 560005, India"
560006,13.0138405,77.5876668,Bengaluru,Karnataka,"Bengaluru, Karnataka 560006, India"
560007,12.9579166,77.6309117,Bengaluru,Karnataka,"Bengaluru, Karnataka 560007, India"
560008,12.9819939,77.6256131,Bengaluru,Karnataka,"Bengaluru, Karnataka 560008, India"
560009,12.9770286,77.5773054,Bengaluru,Karnataka,"Bengaluru, Karnataka 560009, India"
